                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.94204,                0.84059,                 1.1609,                0.46952,                0.28049,                0.25697,                0.08946,                 2.5252,                 2.2202,                 2.5573,              0.0002774,              0.0002774,              0.0002774
                     89,                0.90119,                0.75186,                 1.0962,                0.51609,                0.28049,                0.26764,                0.09212,                 2.5198,                 2.1882,                  2.568,              0.0002576,              0.0002576,              0.0002576
                     90,                0.99567,                0.79079,                 1.0985,                0.57289,                0.28049,                0.28494,                0.09606,                 2.5024,                 2.1568,                 2.5883,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0108,                0.95152,                 1.0666,                0.46597,                  0.298,                0.27429,                0.09215,                 2.4916,                 2.1404,                 2.5857,               0.000218,               0.000218,               0.000218
                     92,                  1.082,                 1.0247,                 1.0739,                0.72428,                 0.2561,                0.27568,                0.09427,                  2.478,                 2.1003,                 2.5772,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.9579,                0.88049,                 1.0414,                0.74038,                0.26829,                0.28186,                0.09835,                 2.4796,                 2.0977,                 2.5634,              0.0001784,              0.0001784,              0.0001784
                     94,                0.99125,                0.88674,                 1.1109,                0.65911,                0.26829,                0.28125,                0.09832,                 2.4779,                 2.0954,                 2.5485,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0157,                0.88712,                 1.0494,                0.69037,                0.26829,                0.27491,                0.09904,                 2.4711,                 2.0911,                 2.5369,              0.0001388,              0.0001388,              0.0001388
                     96,                0.99583,                0.84143,                 1.1034,                0.72379,                0.28049,                0.29561,                0.10735,                 2.4462,                 2.0686,                 2.5176,               0.000119,               0.000119,               0.000119
                     97,                0.99448,                0.76426,                 1.0657,                0.73702,                0.26829,                0.29779,                0.10692,                 2.4469,                 2.0536,                 2.5203,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.9533,                0.86442,                 1.0184,                0.79273,                 0.2561,                0.29023,                0.10446,                 2.4317,                 2.0442,                 2.5137,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.94546,                0.82552,                 1.0442,                0.70371,                 0.2561,                 0.2907,                0.10492,                 2.4324,                 2.0343,                 2.5231,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.90912,                0.81201,                 1.0417,                 0.6272,                0.28732,                0.29964,                  0.107,                 2.4466,                 2.0295,                 2.5349,               3.98e-05,               3.98e-05,               3.98e-05
